Widget,Device,Version,Reviewed,Tested,Quality,Release Ready
qk-2048,xeneon_edge,1.0.0,Y,Y,Y,Y
qk-binary-clock,both,1.0.0,Y,Y,Y,Y
qk-calculator,xeneon_edge,1.0.0,Y,Y,Y,Y
qk-day-progress,both,1.0.0,Y,Y,Y,Y
qk-dice-roller,xeneon_edge,1.0.0,Y,Y,Y,Y
qk-fidget-spinner,xeneon_edge,1.0.0,Y,Y,Y,Y
qk-game-of-life,both,1.0.0,Y,Y,Y,Y
qk-magic-8-ball,xeneon_edge,1.0.0,Y,Y,Y,Y
qk-matrix-rain,both,1.0.0,Y,Y,Y,Y
qk-moon-phase,both,1.0.0,Y,Y,Y,Y
qk-paint,xeneon_edge,1.0.0,Y,Y,Y,Y
qk-pump-visualizer,pump,1.0.0,Y,Y,Y,Y
qk-simon,xeneon_edge,1.0.0,Y,Y,Y,Y
qk-starfield,both,1.0.0,Y,Y,Y,Y
qk-tally-counter,xeneon_edge,1.0.0,Y,Y,Y,Y
qk-world-clocks,xeneon_edge,1.0.0,Y,Y,Y,Y
qk-xe-visualizer,xeneon_edge,1.0.0,Y,Y,Y,Y
qk-api-probe,xeneon_edge,,,,,
